295.158  0.345 0.1257E-01 0.3630E-07 0.1257E-01 0.3627E-07  3.696     0.1468E-04
295.157  0.344 0.1257E-01 0.3625E-07 0.1257E-01 0.3627E-07  3.696     0.1466E-04
295.158  0.345 0.1257E-01 0.3628E-07 0.1257E-01 0.3627E-07  3.697     0.1467E-04
295.243  0.344 0.1257E-01 0.3626E-07 0.1257E-01 0.3627E-07  3.698     0.1466E-04
295.246  0.345 0.1257E-01 0.3628E-07 0.1257E-01 0.3624E-07  3.698     0.1467E-04
295.247  0.345 0.1257E-01 0.3629E-07 0.1257E-01 0.3626E-07  3.698     0.1468E-04
295.334  0.345 0.1257E-01 0.3624E-07 0.1257E-01 0.3626E-07  3.699     0.1469E-04
295.333  0.345 0.1257E-01 0.3627E-07 0.1257E-01 0.3627E-07  3.699     0.1467E-04
295.333  0.345 0.1257E-01 0.3628E-07 0.1257E-01 0.3630E-07  3.699     0.1469E-04
295.419  0.345 0.1257E-01 0.3627E-07 0.1257E-01 0.3625E-07  3.700     0.1469E-04
295.420  0.345 0.1257E-01 0.3626E-07 0.1257E-01 0.3628E-07  3.700     0.1468E-04
295.423  0.345 0.1257E-01 0.3628E-07 0.1257E-01 0.3625E-07  3.700     0.1469E-04
295.507  0.345 0.1257E-01 0.3628E-07 0.1257E-01 0.3626E-07  3.701     0.1467E-04
295.506  0.345 0.1257E-01 0.3630E-07 0.1257E-01 0.3628E-07  3.701     0.1468E-04
295.511  0.345 0.1257E-01 0.3626E-07 0.1257E-01 0.3624E-07  3.701     0.1468E-04
295.640  0.345 0.1257E-01 0.3626E-07 0.1257E-01 0.3627E-07  3.703     0.1468E-04
295.640  0.345 0.1257E-01 0.3627E-07 0.1257E-01 0.3629E-07  3.703     0.1468E-04
295.640  0.346 0.1257E-01 0.3626E-07 0.1257E-01 0.3626E-07  3.703     0.1470E-04
295.771  0.346 0.1257E-01 0.3627E-07 0.1257E-01 0.3627E-07  3.704     0.1468E-04
295.772  0.346 0.1257E-01 0.3626E-07 0.1257E-01 0.3628E-07  3.704     0.1469E-04
295.772  0.346 0.1257E-01 0.3627E-07 0.1257E-01 0.3630E-07  3.704     0.1470E-04
295.859  0.346 0.1257E-01 0.3627E-07 0.1257E-01 0.3633E-07  3.705     0.1470E-04
295.862  0.346 0.1257E-01 0.3627E-07 0.1257E-01 0.3628E-07  3.705     0.1469E-04
295.856  0.346 0.1257E-01 0.3626E-07 0.1257E-01 0.3627E-07  3.705     0.1469E-04
253.272  0.746 0.1257E-01 0.3629E-07 0.1257E-01 0.3627E-07  3.170     0.3700E-04
253.282  0.746 0.1257E-01 0.3624E-07 0.1257E-01 0.3626E-07  3.170     0.3700E-04
253.278  0.746 0.1257E-01 0.3628E-07 0.1257E-01 0.3626E-07  3.170     0.3701E-04
209.245  0.519 0.1257E-01 0.3628E-07 0.1257E-01 0.3629E-07  2.617     0.3114E-04
209.247  0.519 0.1257E-01 0.3628E-07 0.1257E-01 0.3628E-07  2.617     0.3114E-04
209.249  0.519 0.1257E-01 0.3626E-07 0.1257E-01 0.3628E-07  2.617     0.3116E-04
175.061  0.371 0.1257E-01 0.3630E-07 0.1257E-01 0.3626E-07  2.187     0.2665E-04
175.064  0.371 0.1257E-01 0.3627E-07 0.1257E-01 0.3626E-07  2.187     0.2664E-04
175.063  0.372 0.1257E-01 0.3627E-07 0.1257E-01 0.3629E-07  2.187     0.2668E-04
147.551  0.271 0.1257E-01 0.3630E-07 0.1257E-01 0.3625E-07  1.842     0.2309E-04
147.554  0.271 0.1257E-01 0.3626E-07 0.1257E-01 0.3628E-07  1.842     0.2311E-04
147.555  0.271 0.1257E-01 0.3629E-07 0.1257E-01 0.3628E-07  1.842     0.2311E-04
124.784  0.201 0.1257E-01 0.3629E-07 0.1257E-01 0.3627E-07  1.556     0.2022E-04
124.783  0.201 0.1257E-01 0.3625E-07 0.1257E-01 0.3628E-07  1.556     0.2020E-04
124.783  0.201 0.1257E-01 0.3628E-07 0.1257E-01 0.3628E-07  1.556     0.2023E-04
