  0.886  0.001  1.657     0.4390E-05  1.427     0.3784E-05 0.4153E-01 0.1329E-02
  0.887  0.001  1.656     0.4385E-05  1.427     0.3784E-05 0.4161E-01 0.1178E-02
  0.887  0.001  1.656     0.4388E-05  1.427     0.3783E-05 0.4247E-01 0.1285E-02
  0.887  0.001 0.6072     0.1395E-05 0.5214     0.1201E-05 0.1713E-01 0.3816E-03
  0.887  0.001 0.6072     0.1396E-05 0.5214     0.1200E-05 0.1687E-01 0.3343E-03
  0.888  0.001 0.6072     0.1396E-05 0.5214     0.1201E-05 0.1806E-01 0.6394E-03
  0.890  0.001 0.2732     0.5605E-06 0.2341     0.4829E-06 0.8894E-02 0.2745E-03
  0.890  0.001 0.2732     0.5610E-06 0.2341     0.4830E-06 0.9065E-02 0.2476E-03
  0.889  0.001 0.2732     0.5611E-06 0.2341     0.4835E-06 0.8883E-02 0.1699E-03
  0.892  0.001 0.1395     0.2612E-06 0.1194     0.2249E-06 0.5038E-02 0.1216E-03
  0.892  0.001 0.1395     0.2611E-06 0.1194     0.2252E-06 0.5110E-02 0.1150E-03
  0.892  0.001 0.1395     0.2613E-06 0.1194     0.2250E-06 0.5015E-02 0.1472E-03
  0.895  0.001 0.7771E-01 0.1346E-06 0.6641E-01 0.1161E-06 0.3175E-02 0.8643E-04
  0.895  0.001 0.7771E-01 0.1347E-06 0.6641E-01 0.1162E-06 0.3118E-02 0.6618E-04
  0.895  0.001 0.7771E-01 0.1345E-06 0.6641E-01 0.1161E-06 0.3113E-02 0.6214E-04
  0.899  0.001 0.3623E-01 0.5691E-07 0.3091E-01 0.4936E-07 0.1662E-02 0.2743E-04
  0.901  0.002 0.3623E-01 0.5693E-07 0.3091E-01 0.4937E-07 0.1720E-02 0.4469E-04
  0.899  0.001 0.3623E-01 0.5692E-07 0.3091E-01 0.4932E-07 0.1648E-02 0.2816E-04
  0.906  0.001 0.1864E-01 0.2704E-07 0.1588E-01 0.2356E-07 0.1000E-02 0.1990E-04
  0.904  0.001 0.1864E-01 0.2703E-07 0.1588E-01 0.2356E-07 0.9696E-03 0.1533E-04
  0.905  0.001 0.1864E-01 0.2704E-07 0.1588E-01 0.2357E-07 0.9857E-03 0.1822E-04
  0.912  0.002 0.1246E-01 0.1726E-07 0.1061E-01 0.1513E-07 0.7475E-03 0.1672E-04
  0.911  0.002 0.1246E-01 0.1726E-07 0.1061E-01 0.1510E-07 0.7442E-03 0.1488E-04
  0.908  0.001 0.1246E-01 0.1726E-07 0.1061E-01 0.1510E-07 0.7071E-03 0.1122E-04
  0.899  0.002 0.5056E-02 0.6363E-08 0.4252E-02 0.3988E-08 0.2948E-03 0.5850E-05
  0.899  0.001 0.5056E-02 0.6354E-08 0.4252E-02 0.3988E-08 0.2943E-03 0.5183E-05
  0.898  0.001 0.5056E-02 0.6361E-08 0.4252E-02 0.3988E-08 0.2877E-03 0.4402E-05
  0.884  0.001 0.2285E-02 0.2661E-08 0.1893E-02 0.1610E-08 0.1256E-03 0.2082E-05
  0.884  0.001 0.2285E-02 0.2661E-08 0.1893E-02 0.1609E-08 0.1264E-03 0.2318E-05
  0.883  0.001 0.2285E-02 0.2659E-08 0.1893E-02 0.1609E-08 0.1232E-03 0.1931E-05
  0.867  0.001 0.1112E-02 0.1216E-08 0.9086E-03 0.7108E-09 0.5555E-04 0.9094E-06
  0.868  0.001 0.1112E-02 0.1215E-08 0.9086E-03 0.7111E-09 0.5676E-04 0.8423E-06
  0.868  0.001 0.1112E-02 0.1215E-08 0.9086E-03 0.7112E-09 0.5627E-04 0.7688E-06
  0.853  0.001 0.5708E-03 0.5916E-09 0.4601E-03 0.3346E-09 0.2684E-04 0.3845E-06
  0.855  0.001 0.5708E-03 0.5910E-09 0.4601E-03 0.3346E-09 0.2781E-04 0.4479E-06
  0.854  0.001 0.5708E-03 0.5914E-09 0.4601E-03 0.3346E-09 0.2718E-04 0.3974E-06
  0.840  0.001 0.3045E-03 0.3014E-09 0.2422E-03 0.1641E-09 0.1349E-04 0.2060E-06
  0.840  0.001 0.3045E-03 0.3011E-09 0.2422E-03 0.1643E-09 0.1345E-04 0.2038E-06
  0.840  0.001 0.3045E-03 0.3014E-09 0.2422E-03 0.1644E-09 0.1347E-04 0.2043E-06
