  0.801  0.002 0.3251E+08 0.4227E+05 0.2531E+08 0.3333E+05 0.7296E+06 0.3391E+05
  0.803  0.002 0.3250E+08 0.4227E+05 0.2533E+08 0.3333E+05 0.7557E+06 0.4453E+05
  0.803  0.001 0.3242E+08 0.4222E+05 0.2536E+08 0.3335E+05 0.6593E+06 0.2603E+05
  0.803  0.002 0.3245E+08 0.4218E+05 0.2532E+08 0.3330E+05 0.7202E+06 0.3537E+05
  0.824  0.003 0.1584E+08 0.2894E+05 0.1239E+08 0.2150E+05 0.6580E+06 0.3367E+05
  0.832  0.005 0.1586E+08 0.2894E+05 0.1245E+08 0.2170E+05 0.7386E+06 0.5366E+05
  0.826  0.003 0.1580E+08 0.2882E+05 0.1245E+08 0.2169E+05 0.6120E+06 0.2550E+05
  0.831  0.003 0.1578E+08 0.2875E+05 0.1248E+08 0.2173E+05 0.6417E+06 0.2847E+05
  0.839  0.004 0.1626E+08 0.2912E+05 0.1278E+08 0.2186E+05 0.8608E+06 0.4056E+05
  0.842  0.008 0.1622E+08 0.2892E+05 0.1282E+08 0.2193E+05 0.8278E+06 0.1027E+06
  0.837  0.004 0.1626E+08 0.2900E+05 0.1280E+08 0.2186E+05 0.8085E+06 0.4078E+05
  0.842  0.004 0.1626E+08 0.2893E+05 0.1284E+08 0.2193E+05 0.8436E+06 0.4825E+05
  0.849  0.005 0.1541E+08 0.2653E+05 0.1216E+08 0.2002E+05 0.9144E+06 0.5148E+05
  0.855  0.004 0.1539E+08 0.2642E+05 0.1221E+08 0.2011E+05 0.9497E+06 0.4815E+05
  0.845  0.004 0.1546E+08 0.2659E+05 0.1219E+08 0.2003E+05 0.8809E+06 0.4137E+05
  0.860  0.006 0.1542E+08 0.2651E+05 0.1225E+08 0.2021E+05 0.1013E+07 0.7347E+05
  0.866  0.004 0.2624E+08 0.4350E+05 0.2085E+08 0.3306E+05 0.1863E+07 0.7518E+05
  0.863  0.004 0.2622E+08 0.4337E+05 0.2084E+08 0.3296E+05 0.1793E+07 0.6588E+05
  0.871  0.004 0.2626E+08 0.4336E+05 0.2094E+08 0.3317E+05 0.1926E+07 0.7941E+05
  0.864  0.004 0.2622E+08 0.4339E+05 0.2090E+08 0.3311E+05 0.1766E+07 0.6802E+05
  0.883  0.008 0.1043E+08 0.1614E+05 0.8321E+07 0.1220E+05 0.8925E+06 0.6567E+05
  0.880  0.005 0.1045E+08 0.1617E+05 0.8312E+07 0.1221E+05 0.8826E+06 0.3982E+05
  0.895  0.024 0.1042E+08 0.1609E+05 0.8308E+07 0.1216E+05 0.1016E+07 0.1834E+06
  0.878  0.006 0.1045E+08 0.1614E+05 0.8314E+07 0.1220E+05 0.8571E+06 0.4397E+05
  0.896  0.008 0.1568E+08 0.2148E+05 0.1255E+08 0.1634E+05 0.1496E+07 0.8847E+05
  0.882  0.004 0.1572E+08 0.2153E+05 0.1253E+08 0.1626E+05 0.1335E+07 0.4936E+05
  0.898  0.012 0.1568E+08 0.2144E+05 0.1253E+08 0.1629E+05 0.1553E+07 0.1337E+06
  0.898  0.012 0.1573E+08 0.2161E+05 0.1255E+08 0.1633E+05 0.1576E+07 0.1370E+06
  0.901  0.004 0.1373E+08 0.1530E+05 0.1104E+08 0.1185E+05 0.1331E+07 0.3844E+05
  0.899  0.004 0.1371E+08 0.1528E+05 0.1104E+08 0.1186E+05 0.1288E+07 0.3768E+05
  0.923  0.017 0.1373E+08 0.1531E+05 0.1103E+08 0.1185E+05 0.1648E+07 0.1755E+06
  0.913  0.008 0.1371E+08 0.1527E+05 0.1102E+08 0.1183E+05 0.1500E+07 0.8090E+05
  0.913  0.004 0.9756E+07 0.1066E+05 0.7952E+07  8604.     0.9597E+06 0.3088E+05
  0.919  0.007 0.9722E+07 0.1058E+05 0.7965E+07  8609.     0.9722E+06 0.5164E+05
  0.908  0.004 0.9769E+07 0.1066E+05 0.7948E+07  8562.     0.9214E+06 0.2764E+05
  0.915  0.007 0.9753E+07 0.1065E+05 0.7957E+07  8602.     0.9645E+06 0.4721E+05
  0.905  0.006 0.2982E+07  3467.     0.2452E+07  2848.     0.2450E+06 0.1206E+05
  0.904  0.006 0.2989E+07  3475.     0.2450E+07  2844.     0.2529E+06 0.1226E+05
  0.905  0.003 0.2980E+07  3464.     0.2455E+07  2855.     0.2421E+06  7056.    
  0.909  0.004 0.2984E+07  3468.     0.2453E+07  2855.     0.2580E+06  8590.    
  0.915  0.006 0.1616E+07  2360.     0.1331E+07  1945.     0.1480E+06  7439.    
  0.907  0.008 0.1623E+07  2368.     0.1329E+07  1945.     0.1437E+06  9158.    
  0.902  0.004 0.1619E+07  2365.     0.1329E+07  1948.     0.1309E+06  4625.    
  0.909  0.005 0.1618E+07  2360.     0.1330E+07  1947.     0.1412E+06  6356.    
  0.902  0.006 0.5793E+06  1302.     0.4732E+06  1052.     0.4909E+05  2423.    
  0.902  0.006 0.5792E+06  1310.     0.4739E+06  1049.     0.4847E+05  2358.    
  0.898  0.005 0.5794E+06  1318.     0.4720E+06  1044.     0.4811E+05  1945.    
  0.896  0.007 0.5806E+06  1311.     0.4724E+06  1049.     0.4756E+05  3016.    
  0.776  0.001 0.1212E+07  964.2     0.9237E+06  775.4     0.1712E+05  424.4    
  0.775  0.001 0.1213E+07  964.4     0.9226E+06  775.3     0.1750E+05  473.6    
  0.774  0.001 0.1214E+07  965.6     0.9230E+06  774.7     0.1691E+05  361.0    
  0.776  0.001 0.1213E+07  963.6     0.9232E+06  774.5     0.1756E+05  422.1    
  0.807  0.001 0.7325E+06  521.5     0.5720E+06  387.6     0.1941E+05  367.2    
  0.808  0.001 0.7326E+06  520.9     0.5719E+06  387.4     0.1971E+05  430.0    
  0.809  0.001 0.7324E+06  520.9     0.5729E+06  388.0     0.1982E+05  405.1    
  0.807  0.001 0.7342E+06  521.6     0.5724E+06  388.1     0.2028E+05  457.4    
  0.814  0.001 0.8450E+06  662.1     0.6587E+06  477.6     0.2888E+05  637.0    
  0.814  0.001 0.8452E+06  661.8     0.6588E+06  477.6     0.2927E+05  595.6    
  0.815  0.001 0.8428E+06  659.0     0.6582E+06  476.9     0.2912E+05  591.7    
  0.817  0.001 0.8438E+06  660.3     0.6593E+06  477.9     0.2964E+05  690.3    
  0.820  0.002 0.9512E+06  913.1     0.7377E+06  644.3     0.4187E+05  1300.    
  0.822  0.002 0.9514E+06  911.9     0.7393E+06  645.9     0.4271E+05  1003.    
  0.823  0.002 0.9491E+06  910.3     0.7387E+06  645.3     0.4283E+05  1114.    
  0.819  0.001 0.9509E+06  912.8     0.7371E+06  643.9     0.4134E+05  844.0    
  0.828  0.002 0.2065E+07  2346.     0.1597E+07  1685.     0.1130E+06  2551.    
  0.832  0.002 0.2061E+07  2341.     0.1597E+07  1686.     0.1178E+06  2833.    
