 bmom =  10.600
 tmom =   0.000
 lepton  1
 ivec =  3
 cutv =   0.286
  nev =    4
 iy :    778899
 npoi = 60
    1  0.802  0.001
    2  0.828  0.002
    3  0.840  0.001
    4  0.852  0.003
    5  0.866  0.002
    6  0.884  0.004
    7  0.894  0.004
    8  0.909  0.006
    9  0.914  0.002
   10  0.906  0.001
   11  0.908  0.003
   12  0.899  0.002
   13  0.775  0.000
   14  0.808  0.000
   15  0.815  0.001
   16  0.821  0.001
   17  0.832  0.001
   18  0.848  0.001
   19  0.862  0.001
   20  0.870  0.002
   21  0.893  0.001
   22  0.901  0.001
   23  0.893  0.001
   24  0.887  0.003
   25  0.762  0.001
   26  0.799  0.000
   27  0.810  0.001
   28  0.817  0.000
   29  0.822  0.001
   30  0.833  0.000
   31  0.850  0.001
   32  0.863  0.001
   33  0.879  0.001
   34  0.899  0.001
   35  0.892  0.001
   36  0.884  0.002
   37  0.747  0.000
   38  0.786  0.000
   39  0.801  0.000
   40  0.809  0.000
   41  0.819  0.000
   42  0.826  0.001
   43  0.834  0.001
   44  0.852  0.000
   45  0.869  0.002
   46  0.884  0.001
   47  0.891  0.001
   48  0.880  0.002
   49  0.770  0.001
   50  0.798  0.001
   51  0.808  0.001
   52  0.810  0.001
   53  0.820  0.002
   54  0.825  0.001
   55  0.838  0.002
   56  0.849  0.003
   57  0.856  0.001
   58  0.871  0.001
   59  0.878  0.001
   60  0.882  0.002
