  0.824  0.003 0.4174     0.9238E-03 0.3293     0.7296E-03 0.1467E-01 0.9007E-03
  0.830  0.004 0.4173     0.9254E-03 0.3302     0.7326E-03 0.1622E-01 0.9728E-03
  0.827  0.003 0.4163     0.9223E-03 0.3305     0.7320E-03 0.1359E-01 0.6958E-03
  0.819  0.003 0.4201     0.9304E-03 0.3295     0.7306E-03 0.1470E-01 0.7341E-03
  0.902  0.004 0.2621E-01 0.4029E-04 0.2168E-01 0.3359E-04 0.1950E-02 0.6366E-04
  0.909  0.006 0.2626E-01 0.4036E-04 0.2167E-01 0.3362E-04 0.2194E-02 0.1074E-03
  0.904  0.005 0.2614E-01 0.4023E-04 0.2165E-01 0.3351E-04 0.1973E-02 0.8907E-04
  0.909  0.004 0.2611E-01 0.4020E-04 0.2168E-01 0.3356E-04 0.2053E-02 0.7797E-04
  0.917  0.005 0.1389E-01 0.2102E-04 0.1148E-01 0.1746E-04 0.1260E-02 0.5480E-04
  0.918  0.006 0.1391E-01 0.2106E-04 0.1151E-01 0.1747E-04 0.1269E-02 0.6536E-04
  0.912  0.007 0.1390E-01 0.2104E-04 0.1150E-01 0.1745E-04 0.1175E-02 0.6552E-04
  0.912  0.006 0.1390E-01 0.2102E-04 0.1148E-01 0.1746E-04 0.1191E-02 0.5737E-04
  0.926  0.007 0.7494E-02 0.1134E-04 0.6210E-02 0.9396E-05 0.7306E-03 0.3741E-04
  0.932  0.006 0.7495E-02 0.1133E-04 0.6214E-02 0.9387E-05 0.7672E-03 0.3463E-04
  0.920  0.005 0.7502E-02 0.1134E-04 0.6218E-02 0.9397E-05 0.6811E-03 0.2411E-04
  0.929  0.008 0.7505E-02 0.1135E-04 0.6215E-02 0.9396E-05 0.7566E-03 0.4260E-04
  0.931  0.004 0.6452E-02 0.9939E-05 0.5342E-02 0.8215E-05 0.6623E-03 0.1964E-04
  0.930  0.006 0.6444E-02 0.9939E-05 0.5330E-02 0.8190E-05 0.6662E-03 0.2706E-04
  0.937  0.007 0.6463E-02 0.9947E-05 0.5337E-02 0.8208E-05 0.7186E-03 0.3200E-04
  0.948  0.021 0.6448E-02 0.9929E-05 0.5338E-02 0.8203E-05 0.7776E-03 0.1003E-03
  0.947  0.010 0.1332E-02 0.2156E-05 0.1101E-02 0.1767E-05 0.1602E-03 0.9362E-05
  0.959  0.011 0.1329E-02 0.2152E-05 0.1095E-02 0.1758E-05 0.1792E-03 0.1013E-04
  0.966  0.022 0.1327E-02 0.2150E-05 0.1099E-02 0.1760E-05 0.1826E-03 0.2115E-04
  0.946  0.007 0.1330E-02 0.2152E-05 0.1098E-02 0.1761E-05 0.1601E-03 0.6991E-05
  0.964  0.009 0.1232E-02 0.2099E-05 0.1020E-02 0.1719E-05 0.1687E-03 0.8185E-05
  0.948  0.007 0.1236E-02 0.2103E-05 0.1018E-02 0.1713E-05 0.1541E-03 0.6115E-05
  0.962  0.012 0.1232E-02 0.2096E-05 0.1017E-02 0.1710E-05 0.1685E-03 0.1085E-04
  0.972  0.018 0.1235E-02 0.2104E-05 0.1019E-02 0.1712E-05 0.1814E-03 0.1553E-04
  0.966  0.008 0.5471E-03 0.1023E-05 0.4486E-03 0.8286E-06 0.8021E-04 0.3101E-05
  0.971  0.008 0.5450E-03 0.1022E-05 0.4484E-03 0.8292E-06 0.8070E-04 0.3240E-05
  1.014  0.033 0.5447E-03 0.1024E-05 0.4478E-03 0.8292E-06 0.1047E-03 0.1252E-04
  1.004  0.016 0.5441E-03 0.1019E-05 0.4476E-03 0.8279E-06 0.9848E-04 0.6135E-05
