 main 0.1214E-06  0.822  0.137  0.959  0.959  0.000
  t < t_min  or  t > t_max
 tmin=  -2.266 t =  -1.906 tmax=-1.90615
 main 0.1214E-06  0.822  0.132  0.955  0.958  0.001
 main 0.2148E-07  0.817  0.164  0.981  0.981  0.000
 main 0.2149E-07  0.816  0.165  0.982  0.982  0.000
 main 0.2149E-07  0.819  0.170  0.989  0.984  0.002
 main 0.2147E-07  0.817  0.166  0.983  0.984  0.002
 main 0.1785E-08  0.811  0.220  1.030  1.030  0.000
 main 0.1778E-08  0.810  0.210  1.019  1.025  0.004
 main 0.1769E-08  0.811  0.205  1.016  1.022  0.003
 main 0.1786E-08  0.814  0.218  1.032  1.024  0.003
 main 0.8599E-03  0.750  0.021  0.771  0.771  0.000
 main 0.8607E-03  0.753    NaN    NaN    NaN    NaN
 main 0.8590E-03  0.756  0.022  0.778    NaN    NaN
 main 0.8588E-03  0.757    NaN    NaN    NaN    NaN
 main 0.1738E-03  0.813  0.055  0.868  0.868  0.000
 main 0.1732E-03  0.819  0.054  0.873  0.871  0.002
 main 0.1735E-03  0.816  0.055  0.870  0.871  0.001
 main 0.1735E-03  0.815  0.055  0.871  0.871  0.001
 main 0.8024E-04  0.820    NaN    NaN    NaN  0.000
 main 0.8021E-04  0.823  0.059  0.882    NaN    NaN
 main 0.8023E-04  0.820  0.061  0.881    NaN    NaN
 main 0.8024E-04  0.824  0.061  0.884    NaN    NaN
 main 0.3878E-04  0.825  0.063  0.887  0.887  0.000
 main 0.3879E-04  0.824  0.062  0.886  0.887  0.000
 main 0.3872E-04  0.827  0.063  0.891  0.888  0.001
 main 0.3874E-04  0.827  0.062  0.889  0.888  0.001
 main 0.1458E-04  0.827  0.065  0.892  0.892  0.000
 main 0.1454E-04  0.829  0.065  0.894  0.893  0.001
 main 0.1456E-04  0.829  0.064  0.892  0.893  0.001
 main 0.1454E-04  0.831  0.062  0.893  0.893  0.000
  t < t_min  or  t > t_max
 tmin=  -1.019 t =  -0.928 tmax=-0.92782
 main 0.5240E-05  0.828  0.065  0.892  0.892  0.000
 main 0.5226E-05  0.831  0.067  0.898  0.895  0.002
 main 0.5236E-05  0.828  0.069  0.897  0.896  0.001
 main 0.5213E-05  0.832  0.067  0.899  0.897  0.001
 main 0.2166E-05  0.828  0.071  0.899  0.899  0.000
 main 0.2168E-05  0.828  0.067  0.894  0.897  0.002
 main 0.2165E-05  0.829  0.071  0.900  0.898  0.001
 main 0.2163E-05  0.830  0.066  0.896  0.897  0.001
 main 0.5357E-06  0.828  0.067  0.896  0.896  0.000
 main 0.5359E-06  0.828  0.069  0.898  0.897  0.001
 main 0.5363E-06  0.831  0.068  0.899  0.898  0.001
 main 0.5357E-06  0.829  0.069  0.899  0.898  0.001
 main 0.7485E-07  0.826  0.080  0.906  0.906  0.000
 main 0.7447E-07  0.829  0.075  0.904  0.905  0.001
 main 0.7459E-07  0.831  0.078  0.908  0.906  0.001
 main 0.7459E-07  0.830  0.079  0.909  0.907  0.001
 main 0.7815E-08  0.828  0.100  0.928  0.928  0.000
 main 0.7822E-08  0.826  0.095  0.920  0.924  0.003
 main 0.7806E-08  0.826  0.100  0.926  0.925  0.002
 main 0.7820E-08  0.826  0.098  0.924  0.925  0.002
 main 0.1240E-08  0.824  0.114  0.938  0.938  0.000
 main 0.1235E-08  0.826  0.118  0.944  0.941  0.002
 main 0.1236E-08  0.824  0.119  0.943  0.942  0.001
 main 0.1238E-08  0.823  0.116  0.939  0.941  0.001
 main 0.9471E-10  0.814  0.146  0.960  0.960  0.000
 main 0.9462E-10  0.816  0.151  0.967  0.963  0.002
 main 0.9407E-10  0.818  0.160  0.978  0.968  0.004
 main 0.9445E-10  0.818  0.150  0.968  0.968  0.003
 main 0.4315E-04  0.745  0.015  0.760  0.760  0.000
 main 0.4306E-04  0.744    NaN    NaN    NaN    NaN
 main 0.4320E-04  0.741  0.016  0.757    NaN    NaN
 main 0.4336E-04  0.741  0.014  0.755    NaN    NaN
 main 0.7916E-05  0.815  0.041  0.855  0.855  0.000
 main 0.7907E-05  0.814  0.041  0.855  0.855  0.000
 main 0.7917E-05  0.814  0.039  0.853  0.854  0.000
 main 0.7896E-05  0.815  0.039  0.854  0.854  0.000
 main 0.3446E-05  0.825  0.045  0.870  0.870  0.000
 main 0.3448E-05  0.821  0.045  0.866  0.868  0.001
 main 0.3447E-05  0.820  0.045  0.865  0.867  0.001
 main 0.3446E-05  0.825  0.045  0.871  0.868  0.001
 main 0.1594E-05  0.825  0.048  0.873  0.873  0.000
 main 0.1592E-05  0.824  0.046  0.870  0.872  0.001
 main 0.1592E-05  0.824  0.042  0.866  0.870  0.002
 main 0.1593E-05  0.825    NaN    NaN    NaN    NaN
 main 0.5654E-06  0.828  0.044  0.872  0.872  0.000
 main 0.5681E-06  0.829  0.044  0.873  0.873  0.001
 main 0.5666E-06  0.828  0.043  0.871  0.872  0.001
 main 0.5663E-06  0.828  0.046  0.874  0.873  0.001
 main 0.1936E-06  0.826  0.046  0.872  0.872  0.000
 main 0.1931E-06  0.825  0.049  0.875  0.873  0.001
 main 0.1927E-06  0.830  0.045  0.876  0.874  0.001
 main 0.1931E-06  0.828  0.045  0.873  0.874  0.001
 main 0.7674E-07  0.824  0.044  0.867  0.867  0.000
 main 0.7621E-07  0.831  0.044  0.875  0.871  0.003
 main 0.7607E-07  0.830  0.044  0.874  0.872  0.002
 main 0.7632E-07  0.830  0.044  0.875  0.873  0.002
 main 0.1754E-07  0.824  0.039  0.863  0.863  0.000
 main 0.1752E-07  0.826  0.042  0.869  0.866  0.002
 main 0.1744E-07  0.832  0.044  0.876  0.869  0.003
 main 0.1741E-07  0.833  0.045  0.878  0.871  0.003
 main 0.2131E-08  0.833  0.046  0.879  0.879  0.000
 main 0.2130E-08  0.830  0.044  0.875  0.877  0.002
 main 0.2136E-08  0.828  0.047  0.874  0.876  0.001
 main 0.2123E-08  0.834  0.043  0.877  0.876  0.001
 main 0.1804E-09  0.832  0.057  0.889  0.889  0.000
 main 0.1811E-09  0.828  0.056  0.884  0.886  0.002
 main 0.1806E-09  0.830  0.060  0.891  0.888  0.002
 main 0.1806E-09  0.829  0.053  0.883  0.887  0.002
 main 0.2290E-10  0.833  0.066  0.900  0.900  0.000
 main 0.2288E-10  0.834  0.063  0.897  0.898  0.001
 main 0.2286E-10  0.832  0.071  0.903  0.900  0.002
 main 0.2293E-10  0.833  0.070  0.903  0.900  0.001
 main 0.1385E-11  0.830  0.089  0.919  0.919  0.000
 main 0.1374E-11  0.828  0.086  0.914  0.917  0.002
 main 0.1386E-11  0.824  0.082  0.906  0.913  0.003
 main 0.1377E-11  0.823  0.084  0.906  0.911  0.003
 main 0.3218E-07  0.792  0.012  0.805  0.805  0.000
 main 0.3194E-07  0.799  0.019  0.817  0.811  0.004
 main 0.3257E-07  0.780  0.015  0.795  0.806  0.005
 main 0.3261E-07  0.800  0.009  0.809  0.807  0.004
 main 0.2065E-08  0.833  0.007  0.840  0.840  0.000
 main 0.2077E-08  0.835  0.016  0.851  0.846  0.004
 main 0.2083E-08  0.830  0.004  0.834  0.842  0.004
 main 0.2088E-08  0.822  0.019  0.841  0.842  0.003
 main 0.8786E-09  0.825  0.021  0.846  0.846  0.000
 main 0.8821E-09  0.831  0.004  0.835  0.841  0.004
 main 0.8853E-09  0.811  0.030  0.841  0.841  0.003
 main 0.8873E-09  0.826  0.010  0.836  0.840  0.002
 main 0.5344E-09  0.767  0.014  0.781  0.781  0.000
 main 0.5287E-09  0.777  0.006  0.783  0.782  0.001
 main 0.5351E-09  0.774  0.025  0.799  0.788  0.005
 main 0.5342E-09  0.778  0.013  0.792  0.789  0.004
 main 0.1087E-08  0.691  0.062  0.753  0.753  0.000
 main 0.1083E-08  0.695  0.062  0.758  0.755  0.002
 main 0.1083E-08  0.697  0.058  0.755  0.755  0.001
 main 0.1084E-08  0.690  0.055  0.745  0.753  0.002
 main 0.2249E-08  0.687  0.081  0.768  0.768  0.000
 main 0.2249E-08  0.691  0.090  0.781  0.775  0.005
 main 0.2246E-08  0.692  0.083  0.775  0.775  0.003
 main 0.2250E-08  0.688  0.079  0.767  0.773  0.003
 main 0.3803E-08  0.698  0.101  0.799  0.799  0.000
 main 0.3786E-08  0.696  0.099  0.795  0.797  0.001
 main 0.3797E-08  0.697  0.101  0.798  0.797  0.001
 main 0.3802E-08  0.694  0.106  0.800  0.798  0.001
 main 0.5735E-08  0.698  0.138  0.836  0.836  0.000
 main 0.5736E-08  0.699  0.136  0.834  0.835  0.001
 main 0.5723E-08  0.706  0.128  0.833  0.835  0.001
 main 0.5715E-08  0.701  0.128  0.830  0.834  0.001
 main 0.5233E-08  0.707  0.166  0.872  0.872  0.000
 main 0.5216E-08  0.712  0.161  0.873  0.873  0.000
 main 0.5229E-08  0.706  0.177  0.883  0.876  0.003
 main 0.5225E-08  0.714  0.168  0.882  0.878  0.003
 main 0.2543E-08  0.723  0.206  0.929  0.929  0.000
 main 0.2557E-08  0.715  0.211  0.926  0.927  0.001
 main 0.2543E-08  0.725  0.206  0.931  0.929  0.001
 main 0.2545E-08  0.720  0.213  0.933  0.930  0.001
 main 0.7588E-09  0.728  0.241  0.969  0.969  0.000
 main 0.7635E-09  0.724  0.245  0.969  0.969  0.000
 main 0.7609E-09  0.725  0.255  0.980  0.973  0.003
 main 0.7597E-09  0.728  0.257  0.984  0.976  0.003
 main 0.5348E-10  0.736  0.295  1.031  1.031  0.000
 main 0.5341E-10  0.734  0.305  1.039  1.035  0.003
 main 0.5368E-10  0.736  0.293  1.028  1.033  0.003
 main 0.5362E-10  0.724  0.293  1.018  1.029  0.004
