 bmom =  10.600
 tmom =   0.000
 lepton  1
 ivec =  3
 cutv =   0.286
  nev =    4
 iy :    778899
 npoi = 60
    1  0.802  0.000
    2  0.819  0.001
    3  1.020  0.431
    4  0.270  0.220
    5  3.510  2.808
    6  0.514  0.167
    7  1.449  0.279
    8  1.078  0.049
    9  0.918  0.002
   10  0.906  0.001
   11  0.908  0.003
   12  0.899  0.002
   13  0.775  0.000
   14  0.808  0.000
   15  0.815  0.001
   16  0.820  0.001
   17  0.821  0.002
   18  5.118  3.356
   19  1.183  0.612
   20 13.402 12.562
   21  1.000  0.023
   22  0.901  0.001
   23  0.893  0.001
   24  0.887  0.003
   25  0.762  0.001
   26  0.799  0.000
   27  0.810  0.001
   28  0.817  0.000
   29  0.821  0.001
   30  0.824  0.001
   31  1.144  0.514
   32  2.809  1.422
   33  1.566  0.546
   34  0.909  0.001
   35  0.892  0.001
   36  0.884  0.002
   37  0.747  0.000
   38  0.786  0.000
   39  0.801  0.000
   40  0.809  0.000
   41  0.819  0.000
   42  0.825  0.001
   43  0.829  0.002
   44  7.823  6.792
   45  3.041  1.565
   46  1.451  0.118
   47  0.898  0.001
   48  0.880  0.002
   49  0.770  0.001
   50  0.798  0.001
   51  0.808  0.001
   52  0.810  0.001
   53  0.820  0.002
   54  0.825  0.001
   55  0.834  0.001
   56  0.590  0.179
   57  2.089  0.824
   58  2.629  0.853
   59  1.715  1.035
   60  1.292  0.519
